6
1
-1	-1	-1	-1	-1	10	-1	25	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	15	3	-1	-1	-1	4	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	5	34	25	-1	35	-1
-1	11	-1	-1	5	-1	-1	-1	-1	-1	-1	21	-1	-1	18	-1	-1	16	-1	35	-1	30	-1	-1	-1	-1	-1	13	-1	33	-1	-1	-1	-1	-1	-1
-1	-1	-1	34	-1	-1	-1	5	20	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	30	-1	-1	-1	-1	11	-1	23	-1	-1	-1	4
-1	-1	-1	9	6	-1	-1	-1	23	7	-1	-1	-1	-1	-1	-1	27	-1	-1	4	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1
26	1	27	-1	-1	-1	-1	-1	-1	11	-1	18	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	32	-1	-1
-1	-1	-1	29	-1	-1	32	-1	-1	-1	7	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	11	-1	-1	-1	13	-1
31	-1	-1	20	-1	-1	-1	29	-1	-1	-1	-1	6	-1	-1	-1	25	-1	35	-1	7	13	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30
8	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	12	11	-1	-1	-1	-1	-1	21	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	10	-1	-1	-1	-1	-1	-1	-1	-1	11	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	4	-1	13	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	19	20	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1
