8
1
-1	-1	-1	-1	-1	-1	56	62	-1	-1	39	-1	-1	-1	-1	-1	51	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	44	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	20	-1	51	-1	-1	-1	7	-1	-1	-1	28	48	25	-1	62	-1	39	-1	-1	16	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	3	-1	-1	-1	44	-1	53	57	-1	-1	-1	-1	-1	21	-1
-1	48	-1	11	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	27	-1	21	-1	-1	-1	-1	6	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	-1	27	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1
-1	44	-1	-1	-1	-1	10	-1	-1	-1	6	18	-1	-1	-1	55	35	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	-1	15	-1	-1	-1	29	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	-1	50	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	6	-1	-1	33	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	55	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	60	-1	30	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	21	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1
-1	37	-1	14	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	42	27	-1	-1	19	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	24	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	26	-1	-1	-1	-1	51	-1	-1	-1
-1	24	-1	59	-1	61	-1	-1	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	27	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	53	-1	24	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	53	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	43	-1	-1	32	-1	-1	-1	-1	27	-1	-1	58	-1	-1	-1	31	-1	-1	34	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1
46	-1	-1	-1	-1	27	4	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	57	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	9	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	54	-1	-1	-1
-1	29	-1	-1	17	-1	-1	41	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	9	-1	-1	-1	-1	63	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	60	15	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	52	39	-1	-1	-1	-1	-1	38	-1	11	5	-1	-1	-1	50	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	53	46	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	24	-1	-1	35	-1	-1	-1	-1
-1	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	31	-1	-1	-1	-1	-1	-1	32	54	38	-1	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	53	-1	9	-1	-1	-1	-1	-1	44	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	24	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	34	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	63	25	13	-1	2	-1
-1	-1	-1	-1	-1	11	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	25	44	-1	50	41	-1	-1	-1	-1	-1	-1	62	-1	-1	-1	-1	-1	-1	23	18	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	36	-1	-1	-1	-1	45	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	57	-1	-1	-1	35	-1	55	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	52	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	63	-1	34	-1	-1	19	-1	15	53
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	40	-1	-1	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	53	45	18	-1	-1	-1	-1	-1	-1	-1	64	-1	47	33	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	50	57	-1	-1
-1	-1	60	-1	-1	-1	-1	-1	27	-1	-1	-1	53	-1	35	-1	-1	-1	-1	-1	11	-1	-1	-1	62	-1	-1	-1	-1	-1	8	19	-1	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	-1
-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	31	-1	-1	-1	-1	54	-1	-1	42	-1	-1	-1	-1	-1	-1
-1	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	62	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	29	-1	4	-1	-1	-1	-1	-1	8	-1	43	-1	11	56	60	59	-1
-1	-1	45	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	48	-1	35	-1	-1	7	-1	-1	-1	-1	6	-1	41	-1	-1	-1	-1	15	62	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	50	-1
9	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	43	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	22	-1	-1	-1	40	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	-1	-1	-1	-1	-1	-1	62	-1	-1	-1	38	-1	-1	-1
-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	62	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	44	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	56	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	34	-1	-1	-1	-1	35	-1	-1	44	-1	-1	19	-1	24	45	-1	-1	60	-1	-1	-1	-1	6	23	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	16	-1	-1	33	-1	-1	-1	-1	-1	-1	58	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	6	-1	-1	-1	-1	-1	-1	-1	25	-1	1	-1	-1	15	-1	-1	-1	-1	-1	-1	32
-1	41	-1	-1	-1	-1	62	-1	-1	-1	-1	1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	59	-1	-1	30	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	56	-1	-1	-1	-1	-1	-1	23	-1	-1	62	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	35	-1	44	-1	-1	29	-1	46
-1	-1	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	42	-1	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	58	-1	-1	-1
-1	-1	-1	37	-1	59	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	57	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	55	-1	51	-1	64	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3	60	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	47	2	-1	57	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	-1	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	36	-1	58	-1	-1	-1	-1	-1	51	-1	-1	-1	-1	5
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	44	-1	-1	56	41	-1	23	-1	-1	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	-1	-1	-1
8	26	-1	56	-1	6	15	-1	-1	41	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	34	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1
61	-1	-1	-1	-1	-1	-1	10	50	-1	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	57	29	-1	-1	-1	-1	20	-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	52	-1	-1	-1	47	-1	-1	30	56	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	59	-1	-1	-1	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	62	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	58	-1	-1	22	-1	33	44	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	48	-1	28	-1	-1	49	-1	-1	-1
-1	-1	54	-1	-1	-1	28	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	4	8	-1	-1	62	43	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34
44	-1	-1	-1	20	-1	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	3	-1	60	-1	-1	-1	-1	-1	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	51	34	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	52	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	46	-1	42	-1	8	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	-1
-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	10	-1	-1	-1	-1	63	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	17	-1	-1	-1	2	21	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	60	-1	-1	23	-1	-1	-1	-1	-1	64	-1	-1	-1	-1	-1
