6
1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	4	-1	29	-1	-1	-1	20	-1	-1	19	-1	-1	31
-1	-1	-1	-1	-1	29	19	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	-1	-1	28	-1	18	-1	-1	-1	5	-1	-1	-1	-1
-1	26	-1	-1	-1	-1	14	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	27	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	36	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1
-1	-1	-1	14	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	-1	-1	16	19	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	10	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	-1	23	20	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	19	-1	12	17	-1	-1	-1	15	14	-1	-1	-1	-1	-1	-1	26	10	-1	-1	-1	31	-1	-1	-1	-1	-1	-1	-1	3
-1	20	-1	-1	29	-1	-1	22	-1	-1	-1	-1	-1	31	-1	33	-1	-1	-1	-1	21	-1	-1	-1	24	19	-1	-1	-1	-1	-1	-1	-1	4	-1	-1
-1	-1	-1	-1	-1	18	-1	-1	-1	28	-1	-1	23	-1	-1	-1	-1	-1	17	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	20	-1
-1	-1	-1	-1	-1	-1	29	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	-1	-1	-1	10	-1	-1	-1	-1
-1	-1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	26	-1	-1	-1	-1	-1	-1	-1
