7
1
-1	-1	-1	-1	-1	29	-1	-1	-1	-1	-1	-1	48	-1	41	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	25	-1	-1	36	-1	49	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	34	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	37	7	11	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	4	17	-1	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	-1	-1	3	-1
43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	-1	-1	48	-1	-1	-1	19	-1	-1	-1	-1	-1	20	-1	35	-1	-1	45	-1	-1	13	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	47	-1	35	-1	38	8	-1	-1	14	22	-1	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1
-1	-1	-1	-1	8	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	3	21	-1
-1	2	-1	15	11	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	41	-1	-1	-1	-1	7	-1	-1	-1	3	-1	21	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	9	-1	-1	-1
-1	-1	-1	30	-1	-1	25	-1	29	-1	-1	-1	-1	-1	-1	-1	-1	38	-1	-1	-1	41	-1	-1	-1	-1	-1	6	-1	-1	-1	42	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	15	34	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	19
-1	-1	35	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	25	-1	46	-1	-1	-1	-1	12	-1	-1	-1	29	17	-1	-1	-1	-1	-1	-1	-1	48	-1	-1	-1	-1	-1	-1	-1	44	27	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	24	-1	-1	-1	-1	-1	20	-1	-1	-1	-1	-1	43	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	45	-1	-1	-1	-1	42	-1	-1	-1	-1
-1	-1	-1	13	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	17	-1	-1	-1	-1	45	-1	-1	46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	1	-1	-1	-1	-1	-1	-1	-1	-1
38	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	-1	-1	-1	2	23	42	-1	-1	-1	-1	20	-1	-1	-1	-1	33	45	-1	-1	-1	-1	-1
34	-1	-1	31	42	-1	-1	-1	-1	-1	49	-1	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	46	16	9	-1	1	21	-1	-1	27	-1	22	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	33	-1	-1	19	-1	15	-1	5	-1	-1	-1	-1	-1	8	-1	-1	17	-1	-1	28	-1	-1	-1	-1	-1	-1	21	-1	-1	-1	-1	-1	26	-1	-1
-1	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	13	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	9	44	11
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	-1	39	-1	-1	49	6	-1	-1	-1	-1	-1	48	-1	-1	-1	20	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	31	23	-1	-1	-1	-1	46	-1	-1	-1	16	-1	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	42	-1	38	-1	-1	-1	-1	33	-1	-1	-1	-1	-1	-1	-1	-1	18	-1	-1	-1	27	-1	-1	-1	15	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	-1	12	-1	11	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1
-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	-1	-1	33	-1	-1	-1	17	-1	-1	-1	-1	-1	-1	16	-1	-1	-1	23	-1	-1	-1	-1	-1	-1	25	-1	-1	-1	-1	-1	18	-1	-1	-1	-1	-1
-1	-1	11	-1	-1	-1	-1	-1	24	-1	-1	8	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	37	5	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	-1	28	-1	-1	-1	25	-1	-1	-1	-1	-1	-1
-1	-1	43	-1	-1	-1	12	-1	-1	-1	9	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	34	-1	4	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	6	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	32	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	38	-1	-1	-1	-1	-1	14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	39	-1	-1	44	-1	-1	-1	20	41	-1	-1	-1	-1	-1	-1	15	-1	-1	-1	-1	-1	-1	-1	-1	14	-1	10	-1	-1	-1	-1	-1	-1
13	-1	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	16	-1	-1	38	-1	-1	-1	18	-1	-1	-1	-1	-1	-1	-1	-1	39	-1	-1	-1	-1	1	19	48	-1	-1	-1	-1	-1
-1	-1	14	-1	-1	-1	-1	-1	-1	49	-1	-1	-1	-1	-1	36	-1	-1	-1	40	-1	-1	-1	-1	23	-1	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6	-1	-1	-1	-1	-1	-1	-1	45	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	-1	-1	-1	-1	-1	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	41	-1	-1	29
19	-1	-1	-1	-1	2	-1	-1	-1	-1	-1	-1	-1	-1	12	-1	-1	-1	-1	-1	-1	-1	-1	11	-1	-1	-1	44	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	-1	-1	-1	-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	-1	-1	-1	-1	35	-1	-1	36	-1	-1	-1	-1	-1	47	-1	-1	-1	-1	-1	-1	19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	31	-1	-1	44	-1	-1	-1	-1	-1	10	-1	-1	20	-1	2	-1	-1	4	-1	-1	-1
